"mutator","instance","repl","HV","EPS","IGD","class","no","jobid"
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.005833297438126,0.0114068441064639,0.00738212056851985,"CLASS1",6,951
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.0111483986169247,0.0304182509505704,0.0073790845730788,"CLASS1",6,961
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.0352857385067514,0.0469543147208122,0.0234077710049625,"CLASS1",7,291
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.169877360817115,0.153553299492386,0.0896678742647563,"CLASS1",7,281
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.0853336484514687,0.0761421319796955,0.0551571357226842,"CLASS1",7,271
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.00510504223268049,0.0139593908629441,0.00499575369020372,"CLASS1",7,251
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.00653977167636055,0.0126903553299493,0.0068902676937648,"CLASS1",7,261
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_8.graph",1,0.028384855836131,0.0481099656357389,0.0220957017691758,"CLASS1",8,1141
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_8.graph",1,0.187738516280919,0.198167239404353,0.11695665144618,"CLASS1",8,1131
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_8.graph",1,0.0859429030096496,0.0836197021764031,0.0490707015757698,"CLASS1",8,1121
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_8.graph",1,0.00550640403149993,0.0114547537227949,0.00584530893490363,"CLASS1",8,1101
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_8.graph",1,0.00841130090885489,0.0263459335624283,0.00842876678272471,"CLASS1",8,1111
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_9.graph",1,0.0303558061944812,0.0423814328960646,0.0174074672257792,"CLASS1",9,1591
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_9.graph",1,0.159001031162299,0.148335015136226,0.0923013544652012,"CLASS1",9,1581
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_9.graph",1,0.0852729268007251,0.060544904137235,0.0561941369720822,"CLASS1",9,1571
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_9.graph",1,0.00468991161150567,0.0100908173562058,0.00475511184383499,"CLASS1",9,1551
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_9.graph",1,0.0048991249472824,0.0110998990918265,0.00671903872185958,"CLASS1",9,1561
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_1.graph",1,0.0145618984400928,0.0217391304347827,0.0115098266172662,"CLASS2",1,1741
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_1.graph",1,0.119509901537781,0.0877862595419847,0.0784793622767306,"CLASS2",1,1731
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_1.graph",1,0.0678448943467198,0.0534351145038168,0.0410063022104397,"CLASS2",1,1721
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_1.graph",1,0.00197754176346954,0.00763358778625944,0.00238873077853668,"CLASS2",1,1701
