n p sigma.fun sigma repl USGS USGS-F USGS-PRE
100 1.0 "log" 5 24 0.0033330420001220773 0.0012324160002208373 0.0003654590000223834
100 1.0 "log" 5 25 0.003353749999860156 0.0009237080003003939 0.0003274159998909454
100 1.0 "log" 5 26 0.00337179100006324 0.0013630829998874106 0.0003428750001148728
100 1.0 "log" 5 27 0.003353083000092738 0.0016395840002587647 0.0003175420001753082
100 1.0 "log" 5 28 0.003365624999787542 0.0018600419998620055 0.0003246670003136387
100 1.0 "log" 5 29 0.003433916999711073 0.002144790999864199 0.00038487499978145934
100 1.0 "log" 5 30 0.0034204579997094697 0.0010971249998874555 0.00032654100004947395
100 1.0 "sqrt" 10 1 0.0034153750002587913 0.0025516660002722347 0.0003534580000632559
100 1.0 "sqrt" 10 2 0.0033868750001602166 0.0019120830002066214 0.0003455000000940345
100 1.0 "sqrt" 10 3 0.0033913750003193854 0.002989208000144572 0.0003346249995956896
100 1.0 "sqrt" 10 4 0.003470499999821186 0.0016789589999461896 0.00034462500025256304
100 1.0 "sqrt" 10 5 0.0035192499999538995 0.002577125000243541 0.0003440420000515587
100 1.0 "sqrt" 10 6 0.0034055420001095627 0.002433874999951513 0.00035574999992604717
100 1.0 "sqrt" 10 7 0.0033405409999431868 0.002885083999899507 0.00033333400006085867
100 1.0 "sqrt" 10 8 0.0033833329998742556 0.002736750000167376 0.0003456669996921846
100 1.0 "sqrt" 10 9 0.003399083000203973 0.003055250000215892 0.0004197499997644627
100 1.0 "sqrt" 10 10 0.003529583000272396 0.002900499999668682 0.0003424579999773414
100 1.0 "sqrt" 10 11 0.0034308750000491273 0.0021646669997608114 0.00036975000011807424
100 1.0 "sqrt" 10 12 0.003436458000123821 0.0026817920002031315 0.000368125000022701
100 1.0 "sqrt" 10 13 0.003497707999940758 0.00306975000012244 0.00036133399999016547
100 1.0 "sqrt" 10 14 0.003339999999752763 0.0017613329996493121 0.00034987500021088636
100 1.0 "sqrt" 10 15 0.0033563329998287372 0.0024479580001752765 0.00037374999965322786
100 1.0 "sqrt" 10 16 0.0034537500000624277 0.0022742500000276777 0.0003709579996211687
100 1.0 "sqrt" 10 17 0.0033609160000196425 0.0030217079997783003 0.0003371249999872816
100 1.0 "sqrt" 10 18 0.003368457999840757 0.002520792000268557 0.000334374999965803
100 1.0 "sqrt" 10 19 0.003402041999834182 0.002396666000095138 0.00033925000025192276
100 1.0 "sqrt" 10 20 0.0033993750002991874 0.0027758750002249144 0.0003575839996301511
100 1.0 "sqrt" 10 21 0.003362832999755483 0.0028267499997127743 0.00033312499999738066
100 1.0 "sqrt" 10 22 0.0034513750001679 0.0019560840000849566 0.00034979199972440256
100 1.0 "sqrt" 10 23 0.0034204590001536417 0.0020133749999331485 0.0003374590000930766
100 1.0 "sqrt" 10 24 0.0033792079998420377 0.001600083000084851 0.00036604200022338773
100 1.0 "sqrt" 10 25 0.0033845830002974253 0.002490000000307191 0.0003667500000119617
100 1.0 "sqrt" 10 26 0.0033376250003129826 0.0016052920000220183 0.00034337499982939335
100 1.0 "sqrt" 10 27 0.0033933750000869622 0.0019407090003369376 0.0003633749997788982
100 1.0 "sqrt" 10 28 0.0034542499997769482 0.0022596670000893937 0.0003429579996918619
100 1.0 "sqrt" 10 29 0.003380916999958572 0.00235049999992043 0.0003787499999816646
100 1.0 "sqrt" 10 30 0.0034373329999652924 0.002116416999797366 0.0003559589999895252
100 1.0 "logsquared" 45 1 0.003414041999803885 0.003504374999920401 0.0004127500001231965
100 1.0 "logsquared" 45 2 0.0034111250001842564 0.0035472499998832063 0.0003941249997296836
100 1.0 "logsquared" 45 3 0.003367666000031022 0.0035974170000372396 0.00038312500009851647
100 1.0 "logsquared" 45 4 0.003395040999748744 0.0035535840002012264 0.00037483300002350006
100 1.0 "logsquared" 45 5 0.0034472080001251015 0.0035009170001103485 0.0003902499997820996
100 1.0 "logsquared" 45 6 0.003395165999791061 0.0035145830001965805 0.00039624999999432475
100 1.0 "logsquared" 45 7 0.0034211669999422156 0.0035687499998857675 0.00037266600020302576
100 1.0 "logsquared" 45 8 0.003424167000048328 0.0035370000000511936 0.00041483399991193437
100 1.0 "logsquared" 45 9 0.0034058749997711857 0.0035808749998977873 0.0004378749999887077
100 1.0 "logsquared" 45 10 0.0034480839999559976 0.0035980839998046577 0.000421124999775202
100 1.0 "logsquared" 45 11 0.0034306659999856493 0.0034707919999164005 0.0003941670001950115
100 1.0 "logsquared" 45 12 0.003398457999992388 0.003506625000227359 0.00038158300003487966
100 1.0 "logsquared" 45 13 0.0034121250000680448 0.0034903330001725408 0.0004372919997877034
100 1.0 "logsquared" 45 14 0.003391624999949272 0.0035039160002270364 0.0003974589999415912
100 1.0 "logsquared" 45 15 0.0033814580001489958 0.0035779169998022553 0.00039291600023716455
100 1.0 "logsquared" 45 16 0.0033955000003516034 0.003482042000086949 0.00039199999991978984
100 1.0 "logsquared" 45 17 0.0033977499997490668 0.0035287919999973383 0.00038674999996146653
100 1.0 "logsquared" 45 18 0.003432708000218554 0.003497041999708017 0.0003870830000778369
100 1.0 "logsquared" 45 19 0.003449584000009054 0.0035373750001781445 0.00038541699996130774
100 1.0 "logsquared" 45 20 0.003429709000101866 0.0034692920003180916 0.00041858300028252415
100 1.0 "logsquared" 45 21 0.003451125000083266 0.0035425420001047314 0.00042441599998710444
100 1.0 "logsquared" 45 22 0.0033948750001400185 0.003476208000392944 0.00039737499992043013
100 1.0 "logsquared" 45 23 0.003447666000283789 0.003552416999809793 0.00044262499977776315
100 1.0 "logsquared" 45 24 0.0034261249998053245 0.003539332999935141 0.0004029169999739679
100 1.0 "logsquared" 45 25 0.0034237499999107968 0.0035858749997714767 0.00039199999991978984
100 1.0 "logsquared" 45 26 0.00352541599977485 0.0034636670002328174 0.00046016699980100384
100 1.0 "logsquared" 45 27 0.0034269590000803873 0.0035768750003626337 0.0003843330000563583
100 1.0 "logsquared" 45 28 0.0034845420000237937 0.003507708000142884 0.00042020899991257465
100 1.0 "logsquared" 45 29 0.003447957999924256 0.0035232499999438005 0.00040487500018571154
100 1.0 "logsquared" 45 30 0.0034285829997315886 0.003469917000074929 0.0003896250000252621
