n sigmafrac sigma repl runtime
200 0.3 5970 10 0.007966375007526949
200 0.3 5970 11 0.007935959001770243
200 0.3 5970 12 0.007906750004622154
200 0.3 5970 13 0.007905124992248602
200 0.3 5970 14 0.008187875006115064
200 0.3 5970 15 0.00821587500104215
200 0.3 5970 16 0.008133124996675178
200 0.3 5970 17 0.0079442919959547
200 0.3 5970 18 0.007938000009744428
200 0.3 5970 19 0.00801733300613705
200 0.3 5970 20 0.008023833011975512
200 0.3 5970 21 0.008141499987686984
200 0.3 5970 22 0.007903417004854418
200 0.3 5970 23 0.007998917004442774
200 0.3 5970 24 0.00794258298992645
200 0.3 5970 25 0.008101041996269487
200 0.3 5970 26 0.007930332998512313
200 0.3 5970 27 0.008050290998653509
200 0.3 5970 28 0.007983041999978013
200 0.3 5970 29 0.00804766699729953
200 0.3 5970 30 0.008045249996939674
200 0.4 7960 1 0.010156791991903447
200 0.4 7960 2 0.010252624997519888
200 0.4 7960 3 0.01026787499722559
200 0.4 7960 4 0.01035758398938924
200 0.4 7960 5 0.010293208004441112
200 0.4 7960 6 0.010183333011809736
200 0.4 7960 7 0.010166542007937096
200 0.4 7960 8 0.010226957994746044
200 0.4 7960 9 0.011444832998677157
200 0.4 7960 10 0.01282829200499691
200 0.4 7960 11 0.012628583004698157
200 0.4 7960 12 0.013081790995784104
200 0.4 7960 13 0.012368208001134917
200 0.4 7960 14 0.011709040991263464
200 0.4 7960 15 0.011894374998519197
200 0.4 7960 16 0.01090529200155288
200 0.4 7960 17 0.010787084000185132
200 0.4 7960 18 0.010712999996030703
200 0.4 7960 19 0.010432499999296851
200 0.4 7960 20 0.01038883300498128
200 0.4 7960 21 0.010290999998687766
200 0.4 7960 22 0.010318000000552274
200 0.4 7960 23 0.010245207988191396
200 0.4 7960 24 0.010961332998704165
200 0.4 7960 25 0.010664332992746495
200 0.4 7960 26 0.01037683300091885
200 0.4 7960 27 0.010582333998172544
200 0.4 7960 28 0.010470458000781946
200 0.4 7960 29 0.010501125012524426
200 0.4 7960 30 0.010404750006273389
200 0.5 9950 1 0.012537874994450249
200 0.5 9950 2 0.012505334001616575
200 0.5 9950 3 0.012536499998532236
200 0.5 9950 4 0.012531082989880815
200 0.5 9950 5 0.01265445900207851
200 0.5 9950 6 0.012713500007521361
200 0.5 9950 7 0.012703540996881202
200 0.5 9950 8 0.01263766699412372
200 0.5 9950 9 0.012528374994872138
200 0.5 9950 10 0.012852916988776997
200 0.5 9950 11 0.012618209002539515
200 0.5 9950 12 0.01248308400681708
200 0.5 9950 13 0.012492666995967738
200 0.5 9950 14 0.012497832998633385
200 0.5 9950 15 0.012762958998791873
200 0.5 9950 16 0.012720792001346126
200 0.5 9950 17 0.01275412499671802
200 0.5 9950 18 0.012770333007210866
200 0.5 9950 19 0.012838833004934713
200 0.5 9950 20 0.01288587499584537
200 0.5 9950 21 0.012611790996743366
200 0.5 9950 22 0.012750583002343774
200 0.5 9950 23 0.012682208995101973
200 0.5 9950 24 0.012590875005116686
200 0.5 9950 25 0.012619583998457529
200 0.5 9950 26 0.01261929101019632
200 0.5 9950 27 0.015329208006733097
200 0.5 9950 28 0.01399937499081716
200 0.5 9950 29 0.014285666009527631
200 0.5 9950 30 0.014178875004290603
200 0.6 11940 1 0.015061333004268818
200 0.6 11940 2 0.016320708993589506
200 0.6 11940 3 0.01568841701373458
200 0.6 11940 4 0.01518329199461732
200 0.6 11940 5 0.01504387499880977
200 0.6 11940 6 0.01494495800579898
200 0.6 11940 7 0.015095333001227118
200 0.6 11940 8 0.01495825000165496
200 0.6 11940 9 0.015037083008792251
200 0.6 11940 10 0.015465250005945563
200 0.6 11940 11 0.015228499993099831
200 0.6 11940 12 0.015314083997509442
200 0.6 11940 13 0.015046542001073249
200 0.6 11940 14 0.014925791998393834
200 0.6 11940 15 0.014869749997160397
200 0.6 11940 16 0.014946291004889645
200 0.6 11940 17 0.01595074999204371
200 0.6 11940 18 0.017823875008616596
200 0.6 11940 19 0.017927250009961426
200 0.6 11940 20 0.016943499998888
200 0.6 11940 21 0.016124500005389564
200 0.6 11940 22 0.01582366699585691
200 0.6 11940 23 0.015975250003975816
200 0.6 11940 24 0.015851999996812083
200 0.6 11940 25 0.015714833003585227
200 0.6 11940 26 0.015711583007941954
200 0.6 11940 27 0.015451333005330525
200 0.6 11940 28 0.015127499995287508
200 0.6 11940 29 0.014858249996905215
200 0.6 11940 30 0.01607137500832323
200 0.7 13930 1 0.01748416699410882
200 0.7 13930 2 0.019758042006287724
200 0.7 13930 3 0.020996041988837533
200 0.7 13930 4 0.0222770410036901
200 0.7 13930 5 0.020042292002472095
200 0.7 13930 6 0.019418709009187296
200 0.7 13930 7 0.02098795799247455
200 0.7 13930 8 0.02085816700127907
200 0.7 13930 9 0.019439750001765788
200 0.7 13930 10 0.018463457992766052
200 0.7 13930 11 0.017775165993953124
200 0.7 13930 12 0.017563249988597818
200 0.7 13930 13 0.01700629200786352
200 0.7 13930 14 0.01711625000461936
200 0.7 13930 15 0.017213792001712136
200 0.7 13930 16 0.017090832989197224
200 0.7 13930 17 0.017107957988628186
200 0.7 13930 18 0.01698570800363086
200 0.7 13930 19 0.017375042007188313
200 0.7 13930 20 0.018124708003597334
200 0.7 13930 21 0.017495207997853868
200 0.7 13930 22 0.01710149999416899
200 0.7 13930 23 0.016918915993301198
200 0.7 13930 24 0.016978708998067304
200 0.7 13930 25 0.016813166992506012
200 0.7 13930 26 0.016642959002638236
200 0.7 13930 27 0.016549207997741178
200 0.7 13930 28 0.016778334000264294
200 0.7 13930 29 0.01655233399651479
200 0.7 13930 30 0.016636666987324134
200 0.8 15920 1 0.01869266599533148
200 0.8 15920 2 0.01858920899394434
200 0.8 15920 3 0.019121958990581334
200 0.8 15920 4 0.01865925001038704
200 0.8 15920 5 0.01863249999587424
200 0.8 15920 6 0.018624042000737973
200 0.8 15920 7 0.018558290990768
200 0.8 15920 8 0.018626292003318667
200 0.8 15920 9 0.018961207999382168
200 0.8 15920 10 0.018796000003931113
200 0.8 15920 11 0.018997624996700324
200 0.8 15920 12 0.018719375002547167
200 0.8 15920 13 0.01890862500295043
200 0.8 15920 14 0.018773792005958967
200 0.8 15920 15 0.018822666999767534
200 0.8 15920 16 0.019028333001188003
200 0.8 15920 17 0.018888167003751732
200 0.8 15920 18 0.01893799999379553
200 0.8 15920 19 0.01884874999814201
200 0.8 15920 20 0.018790707996231504
200 0.8 15920 21 0.01873458300542552
200 0.8 15920 22 0.01863054199202452
200 0.8 15920 23 0.018816958006937057
200 0.8 15920 24 0.01886062500125263
200 0.8 15920 25 0.018740459010587074
200 0.8 15920 26 0.019091750000370666
200 0.8 15920 27 0.01874149999639485
200 0.8 15920 28 0.01876595900102984
200 0.8 15920 29 0.018736208003247157
200 0.8 15920 30 0.01844454198726453
200 0.9 17910 1 0.020853541005635634
200 0.9 17910 2 0.02063633399666287
200 0.9 17910 3 0.020961834001354873
200 0.9 17910 4 0.02088362499489449
200 0.9 17910 5 0.020489500006078742
200 0.9 17910 6 0.020765250010299496
200 0.9 17910 7 0.02062337499228306
200 0.9 17910 8 0.020832667010836303
200 0.9 17910 9 0.02062787499744445
200 0.9 17910 10 0.02046100000734441
200 0.9 17910 11 0.020327999998698942
200 0.9 17910 12 0.020479625003645197
200 0.9 17910 13 0.02032487500400748
200 0.9 17910 14 0.020336959001724608
200 0.9 17910 15 0.02020566699502524
200 0.9 17910 16 0.02023812501283828
200 0.9 17910 17 0.02036616600526031
200 0.9 17910 18 0.020518625009572133
200 0.9 17910 19 0.02036225001211278
200 0.9 17910 20 0.020306166989030316
200 0.9 17910 21 0.02045170900237281
200 0.9 17910 22 0.020260542005416937
200 0.9 17910 23 0.02036620900616981
200 0.9 17910 24 0.02064099999552127
200 0.9 17910 25 0.020669124991400167
200 0.9 17910 26 0.0206172080070246
200 0.9 17910 27 0.020584792000590824
200 0.9 17910 28 0.020670249999966472
200 0.9 17910 29 0.020798541998374276
200 0.9 17910 30 0.020620541996322572
200 1.0 19900 1 0.02274758399289567
200 1.0 19900 2 0.022564875005627982
200 1.0 19900 3 0.022738083003787324
200 1.0 19900 4 0.02234491599665489
200 1.0 19900 5 0.02248479200352449
200 1.0 19900 6 0.022601667005801573
200 1.0 19900 7 0.022416499996325
200 1.0 19900 8 0.022305042002699338
200 1.0 19900 9 0.022623917000601068
200 1.0 19900 10 0.022592832989175804
200 1.0 19900 11 0.022309584004688077
200 1.0 19900 12 0.02256662500440143
200 1.0 19900 13 0.022319583003991283
200 1.0 19900 14 0.02237166601116769
200 1.0 19900 15 0.02229950000764802
200 1.0 19900 16 0.022443542009568773
200 1.0 19900 17 0.02274158300133422
200 1.0 19900 18 0.022530667003593408
200 1.0 19900 19 0.022699584005749784
200 1.0 19900 20 0.02264558400202077
200 1.0 19900 21 0.02270483400207013
200 1.0 19900 22 0.022629250001045875
200 1.0 19900 23 0.02288158300507348
200 1.0 19900 24 0.02258379200065974
200 1.0 19900 25 0.022318125003948808
200 1.0 19900 26 0.022352333005983382
200 1.0 19900 27 0.02254779099894222
200 1.0 19900 28 0.022178458006237634
200 1.0 19900 29 0.0223251249990426
200 1.0 19900 30 0.022203917003935203
300 0.1 4485 1 0.007811624993337318
300 0.1 4485 2 0.007193833007477224
300 0.1 4485 3 0.007302416008315049
300 0.1 4485 4 0.0073339999944437295
300 0.1 4485 5 0.007188583011156879
300 0.1 4485 6 0.007492667005863041
300 0.1 4485 7 0.007191708005848341
300 0.1 4485 8 0.007485499998438172
300 0.1 4485 9 0.007144374991185032
300 0.1 4485 10 0.007063625002047047
300 0.1 4485 11 0.00728424999397248
300 0.1 4485 12 0.0070800829998916015
300 0.1 4485 13 0.007142917005694471
300 0.1 4485 14 0.007120374997612089
300 0.1 4485 15 0.0072515000065322965
300 0.1 4485 16 0.007093334003002383
300 0.1 4485 17 0.0070844580041011795
300 0.1 4485 18 0.007119583999156021
300 0.1 4485 19 0.007068332997732796
300 0.1 4485 20 0.0071521249919896945
300 0.1 4485 21 0.007056125003146008
300 0.1 4485 22 0.007143625000026077
300 0.1 4485 23 0.007010290995822288
300 0.1 4485 24 0.00705341700813733
300 0.1 4485 25 0.007065209007123485
300 0.1 4485 26 0.007049708990962245
300 0.1 4485 27 0.007024332997389138
300 0.1 4485 28 0.007048708008369431
300 0.1 4485 29 0.007329040992772207
300 0.1 4485 30 0.007429332996252924
300 0.2 8970 1 0.01426237499981653
300 0.2 8970 2 0.014662707995739765
300 0.2 8970 3 0.01408333401195705
300 0.2 8970 4 0.01367037498857826
300 0.2 8970 5 0.013453084000502713
300 0.2 8970 6 0.013496083003701642
300 0.2 8970 7 0.013412166008492932
300 0.2 8970 8 0.013348166001378559
300 0.2 8970 9 0.013339416007511318
300 0.2 8970 10 0.013443667005049065
300 0.2 8970 11 0.013198290995205753
300 0.2 8970 12 0.013206249990616925
300 0.2 8970 13 0.01309241700801067
300 0.2 8970 14 0.013079042008030228
300 0.2 8970 15 0.013285459004691802
300 0.2 8970 16 0.013109249994158745
300 0.2 8970 17 0.014834916000836529
300 0.2 8970 18 0.014100457992753945
300 0.2 8970 19 0.01350908300082665
300 0.2 8970 20 0.013404708006419241
300 0.2 8970 21 0.01347054100187961
300 0.2 8970 22 0.0132935840083519
300 0.2 8970 23 0.013386750011704862
300 0.2 8970 24 0.013318999990588054
300 0.2 8970 25 0.013274666998768225
300 0.2 8970 26 0.014374999998835847
300 0.2 8970 27 0.015011042007245123
300 0.2 8970 28 0.014442666986724362
300 0.2 8970 29 0.014353083999594674
300 0.2 8970 30 0.014160000006086193
300 0.3 13455 1 0.019910832997993566
300 0.3 13455 2 0.01994470800855197
300 0.3 13455 3 0.019740749994525686
300 0.3 13455 4 0.01979287499852944
300 0.3 13455 5 0.0215387080097571
300 0.3 13455 6 0.020611250001820736
300 0.3 13455 7 0.019607875001383945
300 0.3 13455 8 0.019082124999840744
300 0.3 13455 9 0.0189930830092635
300 0.3 13455 10 0.020968458004062995
300 0.3 13455 11 0.020226458000252023
300 0.3 13455 12 0.019504541996866465
