n sigma.fun sigma repl SGSECJ SGSI SGS
100 "half" 50 19 0.001728791999994428 0.0016802499999357678 0.0011430839999775344
100 "half" 50 20 0.001745291000133875 0.0016815840003800986 0.001145165999787423
100 "half" 50 21 0.0017254999997931009 0.0016701670001566526 0.0011380420000932645
100 "half" 50 22 0.0017339169999104342 0.0016768749997027044 0.0011459160000413249
100 "half" 50 23 0.0017523749997963023 0.0016989999999168504 0.0011706250002134766
100 "half" 50 24 0.0017374170001858147 0.0016739170000619197 0.0011440409998613177
100 "half" 50 25 0.0017259589999412128 0.001664500000060798 0.001141499999903317
100 "half" 50 26 0.0017370420000588638 0.001678791999893292 0.0011478749997877458
100 "half" 50 27 0.0017387500001859735 0.0016853750003065215 0.0011547079998308618
100 "half" 50 28 0.0017170830001305148 0.0016687500001353328 0.0011307909999231924
100 "half" 50 29 0.0018589170003906474 0.0016858330000104615 0.0011696660003508441
100 "half" 50 30 0.0017302500000369037 0.001671333000103914 0.0011369170001671591
200 "log" 6 1 0.00022183300006872742 0.00015287499991245568 0.0002125420000993472
200 "log" 6 2 0.0002214589999312011 0.0001622920003683248 0.0002274999997098348
200 "log" 6 3 0.00022237500024857582 0.0001613750000615255 0.00021866699989914196
200 "log" 6 4 0.00021599999990939978 0.00016141700007210602 0.0002154170001631428
200 "log" 6 5 0.0002123750000464497 0.00015266699983840226 0.00021050000032118987
200 "log" 6 6 0.00021624999999403371 0.00015883400010352489 0.0002168749997508712
200 "log" 6 7 0.00022133299989945954 0.00016462499979752465 0.00021870800037504523
200 "log" 6 8 0.00021970899979351088 0.00015804099984961795 0.00021483399996213848
200 "log" 6 9 0.0002160419999199803 0.0001591249997545674 0.00022058400008972967
200 "log" 6 10 0.00021145900018382235 0.00015879100010351976 0.0002126249996763363
200 "log" 6 11 0.0002157920002900937 0.00015629200015609968 0.0002165830001104041
200 "log" 6 12 0.0002162909995604423 0.0001575829996909306 0.0002162089999728778
200 "log" 6 13 0.00021666700013156515 0.00015691699991293717 0.0002144999998563435
200 "log" 6 14 0.00022212499970919453 0.00016350000032616663 0.00022087499974077218
200 "log" 6 15 0.0002202910000050906 0.00016033299971240922 0.00021662500012098462
200 "log" 6 16 0.0002160419999199803 0.00015708399996583466 0.00021524999965549796
200 "log" 6 17 0.00021845799983566394 0.0001605830002517905 0.00022137499991004006
200 "log" 6 18 0.00022354199973051436 0.0001622079998924164 0.00021733299990955857
200 "log" 6 19 0.00021770900002593407 0.00015566599995509023 0.00021233299958112184
200 "log" 6 20 0.00021308399982444826 0.0001559590000397293 0.00021341699994081864
200 "log" 6 21 0.00021595899988824385 0.00015787499978614505 0.0002199169998675643
200 "log" 6 22 0.00021950000018478022 0.00016033299971240922 0.00022166600001582992
200 "log" 6 23 0.00021562499978244887 0.00015816699988135952 0.00021433300025819335
200 "log" 6 24 0.00021599999990939978 0.00015987500000846921 0.00021637500003635068
200 "log" 6 25 0.0002175829999941925 0.00016058399978646776 0.00021708299982492463
200 "log" 6 26 0.0002192910001213022 0.00016466700026285253 0.0002190840000366734
200 "log" 6 27 0.00021754199997303658 0.00015816700033610687 0.00021583399984592688
200 "log" 6 28 0.0002210839998042502 0.00016295799969157088 0.00021920900007899036
200 "log" 6 29 0.0002217920000475715 0.00016374999995605322 0.00022066699966671877
200 "log" 6 30 0.0002135419999831356 0.00015791700025147293 0.00021329199989850167
200 "sqrt" 15 1 0.00041008400012287893 0.00034025000013571116 0.0003497500001685694
200 "sqrt" 15 2 0.00041991700027210754 0.0003449999999247666 0.00035879200004274026
200 "sqrt" 15 3 0.0004236659997332026 0.0003352500002620218 0.00034662500002013985
200 "sqrt" 15 4 0.00041270899964729324 0.00034195800026282086 0.00034841599972423865
200 "sqrt" 15 5 0.00041070799989029183 0.00033966699993470684 0.00034520799999882
200 "sqrt" 15 6 0.00041854100027194363 0.00034337499982939335 0.00035087500009467476
200 "sqrt" 15 7 0.00041458399982730043 0.00033854200000860146 0.00035262499977761763
200 "sqrt" 15 8 0.0004048749997309642 0.00033279199988101027 0.0003409579999242851
200 "sqrt" 15 9 0.0004142080001656723 0.00034049999976559775 0.00035087500009467476
200 "sqrt" 15 10 0.0004063749997840205 0.00034041700018860865 0.0003499170002214669
200 "sqrt" 15 11 0.00041604100033509894 0.0003442080001150316 0.00035116699973514187
200 "sqrt" 15 12 0.0004028340003969788 0.00033516700023028534 0.00034658300000955933
200 "sqrt" 15 13 0.00040454200006934116 0.0003355839999130694 0.00034154200011471403
200 "sqrt" 15 14 0.0004172079998170375 0.00034416699963912833 0.0003579999997782579
200 "sqrt" 15 15 0.0004039580003336596 0.00033541699986017193 0.0003467500000624568
200 "sqrt" 15 16 0.00039641600005779765 0.0003404579997550172 0.0003472080002211442
200 "sqrt" 15 17 0.00040283299995280686 0.00034049999976559775 0.00034620900032678037
200 "sqrt" 15 18 0.00041050000027098577 0.0003365419997862773 0.0003461669998614525
200 "sqrt" 15 19 0.00041300000020783045 0.0003460419998191355 0.00035291700032757944
200 "sqrt" 15 20 0.0004094579999218695 0.00033983299999817973 0.000349207999988721
200 "sqrt" 15 21 0.00041804200009210035 0.00034500000037951395 0.0003538750002007873
200 "sqrt" 15 22 0.0004135409999435069 0.00034541700006229803 0.00035570899990489124
200 "sqrt" 15 23 0.0003986659999100084 0.0003453340000305616 0.0003401670001039747
200 "sqrt" 15 24 0.00041633399996499065 0.0003442090001044562 0.0003542080003171577
200 "sqrt" 15 25 0.00041737500032468233 0.0003461250003056193 0.0003549590001057368
200 "sqrt" 15 26 0.0004018329996142711 0.0003366670002833416 0.0003472920002423052
200 "sqrt" 15 27 0.0003959579998991103 0.0003323750001982262 0.0003409169999031292
200 "sqrt" 15 28 0.00040554199995312956 0.00034220899988213205 0.0003505839999888849
200 "sqrt" 15 29 0.0004190829999970447 0.00036316600017016754 0.0003630409996731032
200 "sqrt" 15 30 0.0004614159997800016 0.0003460410002844583 0.0003529159998834075
200 "logsquared" 59 1 0.002736666000146215 0.002577416999884008 0.001837332999912178
200 "logsquared" 59 2 0.0026575409997349198 0.0025852499998109124 0.0019331250000504951
200 "logsquared" 59 3 0.002771082999970531 0.0025992500000029395 0.001836625000123604
200 "logsquared" 59 4 0.0027193330001864524 0.002629542000249785 0.0018824170001607854
200 "logsquared" 59 5 0.002691291000246565 0.002643875000103435 0.001894958000320912
200 "logsquared" 59 6 0.002696458000173152 0.002599417000055837 0.0019272919998911675
200 "logsquared" 59 7 0.002707207999719685 0.002657957999872451 0.0019143750000694126
200 "logsquared" 59 8 0.0027201249999961874 0.0026385000001027947 0.001949125000010099
200 "logsquared" 59 9 0.0027224169998589787 0.0026012500002252636 0.0019125840003653138
200 "logsquared" 59 10 0.0026840000000447617 0.0025912500000231375 0.0018365420000918675
200 "logsquared" 59 11 0.00275983300025473 0.002641124999627209 0.0018633750000844884
200 "logsquared" 59 12 0.00267287499991653 0.0025705830003062147 0.001908000000184984
200 "logsquared" 59 13 0.0026706660000854754 0.002622625000185508 0.0019071249998887652
200 "logsquared" 59 14 0.002713374999984808 0.0025968330000978312 0.0018704170001910825
200 "logsquared" 59 15 0.0026497079998080153 0.0025717079997775727 0.0019137089998366719
200 "logsquared" 59 16 0.0026929579998977715 0.00266387500005294 0.001882125000065571
200 "logsquared" 59 17 0.0027564580000216665 0.002670291999947949 0.0018961670002681785
